Chain,Previous_Interactions,Sales_Price,Purchase_Price,Sales_Expense,Gender,Offer_ID,Market,Customer_ID,Brand,Channel,Preferred_Channel,Offer_Incentive_Sent_Via,Conversion,Profit,Competitor_Price
67,0,48300.0,35433.949166948354,1232.2448858225057,Female,Offer3,North,1,Brand3,In_Person,Online,Generic_App_Notification,0,11633.80594722914,50049.51351003799
20,4,21300.0,16425.407650454803,4839.115307655227,Male,Offer3,South,2,Brand4,In_Person,Online,Generic_App_Notification,0,35.47704188996977,21009.031961229444
20,4,20600.0,15679.59226230046,4847.873211806036,Male,Offer1,West,3,Brand2,In_Person,In_Person,Generic_App_Notification,0,72.5345258935049,22810.317211863785
20,4,21500.0,16585.990340172026,4774.900094488318,Male,Offer1,West,4,Brand3,Phone,Online,Generic_App_Notification,0,139.10956533965964,23358.347874350588
67,0,47600.0,34776.88848296491,1216.5435626869687,Female,Offer2,South,5,Brand3,In_Person,Online,Generic_App_Notification,0,11606.56795434812,53062.78192129666
67,0,47800.0,35063.19930085735,1183.7313272221315,Female,Offer3,East,6,Brand4,Online,Online,Generic_App_Notification,0,11553.06937192052,53827.86885019888
67,0,48100.0,35204.24630474662,1165.5582865325007,Female,Offer1,South,7,Brand2,In_Person,Phone,Personalized_Email,0,11730.195408720876,51701.31373770708
67,0,48800.0,35818.18757412118,1051.9132779041836,Female,Offer2,North,8,Brand2,Online,Phone,Generic_App_Notification,0,11929.89914797464,51659.35879932073
20,4,21300.0,16433.15622448349,4802.231384511559,Male,Offer3,West,9,Brand3,In_Person,Phone,Generic_App_Notification,0,64.61239100495186,23253.84665106655
19,4,21200.0,16313.754920241923,4838.692342901015,Male,Offer3,East,10,Brand1,In_Person,Phone,Generic_App_Notification,0,47.552736857060154,21864.41767352707
67,4,48900.0,40444.39058278922,4786.1178072790835,Female,Offer1,West,11,Brand3,Online,In_Person,Generic_App_Notification,1,3669.491609931694,50122.77751177724
66,0,48100.0,35292.56514503995,1191.515606796957,Female,Offer3,South,12,Brand3,In_Person,In_Person,Generic_App_Notification,0,11615.91924816309,41763.1151545672
20,4,20900.0,16018.570218445171,4870.341944938086,Male,Offer2,West,13,Brand3,In_Person,Online,Generic_App_Notification,0,11.087836616740788,23822.050077297845
68,0,48000.0,35163.50355689334,1172.0903184571591,Female,Offer2,South,14,Brand3,In_Person,In_Person,Generic_App_Notification,0,11664.406124649502,50506.66356011688
68,4,47900.0,39435.40189964449,4723.9194881580315,Female,Offer1,West,15,Brand4,Phone,Phone,Personalized_Email,1,3740.678612197482,43109.663961769635
21,4,21500.0,16569.372294121324,4846.416516663192,Male,Offer3,South,16,Brand2,Online,Online,Generic_App_Notification,0,84.21118921548441,19471.721727673077
21,4,21900.0,16944.055838116015,4955.7609012326875,Male,Offer3,North,17,Brand4,In_Person,Online,Generic_App_Notification,0,0.1832606512971324,21958.209538622
20,4,21300.0,16458.532500629863,4839.268299987498,Male,Offer3,South,18,Brand4,Online,Phone,Personalized_Email,0,2.199199382635925,22470.474938324925
21,4,21600.0,16733.037058628805,4792.696249987302,Male,Offer3,North,19,Brand4,Online,Phone,Generic_App_Notification,0,74.26669138389389,21966.740705769997
21,4,20600.0,15749.590195267912,4797.901365715801,Male,Offer2,South,20,Brand3,Online,Phone,Personalized_Email,1,52.5084390162865,19499.47957048349
20,4,20700.0,15838.653575559212,4849.154641771662,Male,Offer1,West,21,Brand1,In_Person,In_Person,Generic_App_Notification,0,12.191782669126042,18431.333481525508
68,0,48400.0,35497.23770622512,1234.378148328844,Female,Offer2,South,22,Brand2,In_Person,Online,Generic_App_Notification,0,11668.384145446038,49447.30312401158
20,4,21200.0,16332.034364554282,4797.672977535682,Male,Offer2,East,23,Brand1,Online,Phone,Generic_App_Notification,0,70.29265791004036,19604.865595187526
